,id,year,doy,longitude,latitude,grid10k,covertype,fuelcode,area_burned,prefire_fuel,consumed_fuel,ECO2,ECO,ECH4,EPM2.5,cwd_frac,duff_frac,fuel_moisture_class,burn_source,burnday_source,BSEV,BSEV_flag
5410164,282468,2005,205,-120.21700000000001,45.8101,115299,2,2,62500.0,356.209308,320.588377,537.626709,22.441186,0.8591770000000001,3.270001,0.0,0.0,2,1,15,2,0
5410165,282469,2005,205,-120.2139,45.8106,115299,2,2,0.0,347.4666,312.71994,524.431339,21.890396,0.838089,3.189743,0.0,0.0,2,1,15,1,0
5410256,282560,2005,205,-120.2334,45.8094,115299,1,1,62500.0,165.551022,153.96245,258.195029,10.777372,0.412619,1.570417,0.0,0.0,2,1,15,2,0
5410257,282561,2005,205,-120.2303,45.81,115299,2,2,62500.0,388.826334,349.943701,586.855586,24.496059,0.937849,3.569426,0.0,0.0,2,1,15,2,0
5410258,282562,2005,205,-120.2272,45.8105,115299,1,1,62500.0,122.17374,113.621578,190.543387,7.95351,0.304506,1.15894,0.0,0.0,2,1,15,2,0
5410259,282563,2005,205,-120.2241,45.8111,115299,1,1,62500.0,59.181408,55.038709,92.299916,3.85271,0.147504,0.561395,0.0,0.0,2,1,15,2,0
5410260,282564,2005,205,-120.221,45.8117,115299,2,2,62500.0,360.2444040000001,324.219964,543.716879,22.695397,0.8689100000000001,3.3070440000000003,0.0,0.0,2,1,15,2,0
5410261,282565,2005,205,-120.2178,45.8122,115299,1,1,62500.0,135.62406,126.130376,211.52064,8.829125999999997,0.338029,1.28653,0.0,0.0,2,1,15,2,0
5410262,282566,2005,205,-120.2147,45.8128,115299,1,1,0.0,84.512844,78.59694499999998,131.807077,5.501786,0.21064,0.801689,0.0,0.0,2,1,15,1,0
5410359,282663,2005,205,-120.2498,45.8087,115299,1,1,62500.0,126.65718,117.791177,197.535804,8.245382000000001,0.31568,1.20147,0.0,0.0,2,1,15,2,0
5410360,282664,2005,205,-120.2466,45.8093,115299,1,1,62500.0,131.925222,122.690456,205.751895,8.588332000000001,0.32881,1.251443,0.0,0.0,2,1,15,2,0
5410361,282665,2005,205,-120.2435,45.8099,115299,1,1,62500.0,133.83068400000002,124.462536,208.723673,8.712378,0.33356,1.269518,0.0,0.0,2,1,15,2,0
5410362,282666,2005,205,-120.2404,45.8104,115299,1,1,62500.0,151.65235800000005,141.036693,236.518534,9.872569,0.377978,1.438574,0.0,0.0,2,1,15,2,0
5410363,282667,2005,205,-120.2373,45.81100000000001,115299,1,1,62500.0,157.592916,146.56141200000005,245.783488,10.259299,0.392785,1.494926,0.0,0.0,2,1,15,2,0
5410364,282668,2005,205,-120.2342,45.8116,115299,1,1,62500.0,172.724526,160.633809,269.382898,11.244367,0.430499,1.638465,0.0,0.0,2,1,15,2,0
5410365,282669,2005,205,-120.2311,45.8121,115299,1,1,62500.0,159.498378,148.33349199999995,248.755265,10.383344,0.397534,1.513002,0.0,0.0,2,1,15,2,0
5410366,282670,2005,205,-120.228,45.8127,115299,2,2,62500.0,354.864276,319.377848,535.596652,22.356449,0.8559329999999999,3.257654,0.0,0.0,2,1,15,2,0
5410367,282671,2005,205,-120.2249,45.8133,115299,1,1,62500.0,168.68943000000004,156.88117,263.089722,10.981682,0.420442,1.600188,0.0,0.0,2,1,15,2,0
5410368,282672,2005,205,-120.2218,45.8138,115299,1,1,0.0,142.237134,132.280535,221.834457,9.259637,0.354512,1.349261,0.0,0.0,2,1,15,1,0
5410369,282673,2005,205,-120.2187,45.8144,115299,1,1,62500.0,136.296576,126.755816,212.569503,8.872907000000003,0.339706,1.292909,0.0,0.0,2,1,15,2,0
5410370,282674,2005,205,-120.2155,45.815,115299,2,2,62500.0,356.99391,321.294519,538.810908,22.490616,0.8610690000000001,3.277204,0.0,0.0,2,1,15,2,0
5410475,282779,2005,205,-120.2506,45.8109,115299,2,2,62500.0,104.015808,93.614227,156.991059,6.552996,0.250886,0.954865,0.0,0.0,2,1,15,2,0
5410476,282780,2005,205,-120.2475,45.8115,115299,1,1,62500.0,123.742944,115.080938,192.990733,8.055666,0.308417,1.173826,0.0,0.0,2,1,15,2,0
5410477,282781,2005,205,-120.2443,45.812,115299,1,1,62500.0,126.433008,117.582697,197.186184,8.230789,0.315122,1.199344,0.0,0.0,2,1,15,2,0
5410478,282782,2005,205,-120.2412,45.8126,115299,1,1,62500.0,116.345268,108.201099,181.453243,7.574077000000001,0.289979,1.103651,0.0,0.0,2,1,15,2,0
5410479,282783,2005,205,-120.2381,45.8132,115299,1,1,62500.0,142.237134,132.280535,221.834457,9.259637,0.354512,1.349261,0.0,0.0,2,1,15,2,0
5410480,282784,2005,205,-120.235,45.8137,115299,1,1,62500.0,161.515926,150.209811,251.901853,10.514687,0.402562,1.53214,0.0,0.0,2,1,15,2,0
5410481,282785,2005,205,-120.2319,45.8143,115299,1,1,62500.0,142.01296200000004,132.072055,221.484836,9.245044,0.353953,1.347135,0.0,0.0,2,1,15,2,0
5410482,282786,2005,205,-120.2288,45.8149,115299,1,1,62500.0,115.44858,107.367179,180.05476000000004,7.515703,0.287744,1.095145,0.0,0.0,2,1,15,2,0
5410483,282787,2005,205,-120.2257,45.8155,115299,1,1,62500.0,80.814006,75.157026,126.038332,5.260992,0.201421,0.766602,0.0,0.0,2,1,15,2,0
5410484,282788,2005,205,-120.2226,45.816,115299,1,1,62500.0,138.76246799999998,129.049095,216.415333,9.033437,0.345852,1.316301,0.0,0.0,2,1,15,2,0
5410485,282789,2005,205,-120.2195,45.8166,115299,1,1,62500.0,145.82388600000004,135.616214,227.428391,9.493135,0.363451,1.383285,0.0,0.0,2,1,15,2,0
5410486,282790,2005,205,-120.2164,45.8172,115299,1,1,0.0,75.09761999999998,69.840787,117.122999,4.888855,0.187173,0.712376,0.0,0.0,2,1,15,1,0
5410587,282891,2005,205,-120.2545,45.8125,115298,1,1,62500.0,167.45648400000005,155.73453,261.166807,10.901417,0.4173689999999999,1.588492,0.0,0.0,2,1,15,2,0
5410588,282892,2005,205,-120.2514,45.8131,115299,1,1,62500.0,163.42138799999995,151.981891,254.873631,10.638732,0.407311,1.550215,0.0,0.0,2,1,15,2,0
5410589,282893,2005,205,-120.2483,45.8137,115299,1,1,62500.0,164.318076,152.815811,256.272115,10.697107,0.409546,1.558721,0.0,0.0,2,1,15,2,0
5410590,282894,2005,205,-120.2452,45.8142,115299,1,1,62500.0,158.04126000000005,146.978372,246.48273,10.288486,0.393902,1.499179,0.0,0.0,2,1,15,2,0
5410591,282895,2005,205,-120.242,45.8148,115299,1,1,62500.0,161.179668,149.897091,251.377422,10.492796,0.401724,1.52895,0.0,0.0,2,1,15,2,0
5410592,282896,2005,205,-120.2389,45.8154,115299,1,1,62500.0,180.682632,168.034848,281.79444,11.762439,0.450333,1.713955,0.0,0.0,2,1,15,2,0
5410593,282897,2005,205,-120.2358,45.8159,115299,2,2,62500.0,404.966718,364.470046,611.216267,25.512903,0.97678,3.717594,0.0,0.0,2,1,15,2,0
5410594,282898,2005,205,-120.2327,45.8165,115299,1,1,62500.0,155.463282,144.580852,242.462089,10.12066,0.387477,1.474725,0.0,0.0,2,1,15,2,0
5410595,282899,2005,205,-120.2296,45.8171,115299,1,1,62500.0,131.476878,122.273497,205.052654,8.559145,0.327693,1.24719,0.0,0.0,2,1,15,2,0
5410596,282900,2005,205,-120.2265,45.8176,115299,2,2,62500.0,67.027428,60.324685,101.164497,4.222728,0.16167,0.615312,0.0,0.0,2,1,15,2,0
5410597,282901,2005,205,-120.2234,45.8182,115299,2,2,0.0,154.454508,139.009057,233.118189,9.730634,0.372544,1.417892,0.0,0.0,2,1,15,1,0
5410598,282902,2005,205,-120.2203,45.8188,115299,1,1,62500.0,142.685478,132.697495,222.533698,9.288825,0.355629,1.353514,0.0,0.0,2,1,15,2,0
5410599,282903,2005,205,-120.2172,45.8193,115299,2,2,62500.0,96.95439,87.258951,146.33326100000005,6.108127,0.233854,0.890041,0.0,0.0,2,1,15,2,0
5410698,283002,2005,205,-120.2553,45.8147,115298,2,2,62500.0,187.968222,169.1714,283.700437,11.841998,0.453379,1.725548,0.0,0.0,2,1,15,2,0
5410699,283003,2005,205,-120.2522,45.8153,115299,1,1,62500.0,158.825862,147.708052,247.706403,10.339564,0.395858,1.506622,0.0,0.0,2,1,15,2,0
5410700,283004,2005,205,-120.2491,45.8158,115299,1,1,62500.0,160.28298,149.06317099999995,249.978938,10.434422,0.399489,1.520444,0.0,0.0,2,1,15,2,0
5410701,283005,2005,205,-120.24600000000001,45.8164,115299,1,1,62500.0,135.511974,126.026136,211.34583,8.82183,0.33775,1.285467,0.0,0.0,2,1,15,2,0
5410702,283006,2005,205,-120.2429,45.817,115299,1,1,62500.0,144.478854,134.36533400000002,225.330665,9.405573,0.360099,1.370526,0.0,0.0,2,1,15,2,0
5410703,283007,2005,205,-120.2397,45.8175,115299,1,1,62500.0,171.49158,159.487169,267.459983,11.164102,0.427426,1.626769,0.0,0.0,2,1,15,2,0
5410704,283008,2005,205,-120.2366,45.8181,115299,1,1,62500.0,141.340446,131.44661499999998,220.435973,9.201263,0.352277,1.340755,0.0,0.0,2,1,15,2,0
5410705,283009,2005,205,-120.2335,45.8187,115299,1,1,62500.0,158.04126000000005,146.978372,246.48273,10.288486,0.393902,1.499179,0.0,0.0,2,1,15,2,0
5410706,283010,2005,205,-120.2304,45.8192,115299,1,1,62500.0,116.233182,108.096859,181.278433,7.56678,0.2897,1.102588,0.0,0.0,2,1,15,2,0
5410707,283011,2005,205,-120.2273,45.8198,115299,2,2,62500.0,74.873448,67.386103,113.006495,4.717027,0.180595,0.687338,0.0,0.0,2,1,15,2,0
5410708,283012,2005,205,-120.2242,45.8204,115299,1,1,62500.0,147.056832,136.762854,229.351306,9.5734,0.366524,1.394981,0.0,0.0,2,1,15,2,0
5410709,283013,2005,205,-120.2211,45.8209,115299,1,1,62500.0,137.193264,127.58973600000002,213.967986,8.931281,0.34194,1.301415,0.0,0.0,2,1,15,2,0
5410807,283111,2005,205,-120.25299999999999,45.8174,115299,1,1,62500.0,159.274206,148.125012,248.405644,10.368751,0.396975,1.510875,0.0,0.0,2,1,15,2,0
5410808,283112,2005,205,-120.2499,45.818000000000005,115299,1,1,62500.0,160.619238,149.375891,250.50337,10.456312,0.400327,1.523634,0.0,0.0,2,1,15,2,0
5410809,283113,2005,205,-120.2468,45.8186,115299,1,1,62500.0,144.142596,134.05261399999998,224.806234,9.383683,0.359261,1.367337,0.0,0.0,2,1,15,2,0
5410810,283114,2005,205,-120.2437,45.8191,115299,1,1,62500.0,151.091928,140.515493,235.644482,9.836085,0.376582,1.433258,0.0,0.0,2,1,15,2,0
5410811,283115,2005,205,-120.2406,45.8197,115299,1,1,62500.0,157.705002,146.665652,245.958298,10.266596,0.393064,1.49599,0.0,0.0,2,1,15,2,0
5410812,283116,2005,205,-120.2374,45.8203,115299,1,1,62500.0,150.19523999999996,139.681573,234.245998,9.77771,0.374347,1.424752,0.0,0.0,2,1,15,2,0
5410813,283117,2005,205,-120.2343,45.8209,115299,1,1,62500.0,147.729348,137.388294,230.400168,9.617181,0.368201,1.401361,0.0,0.0,2,1,15,2,0
5410814,283118,2005,205,-120.2312,45.8214,115299,1,1,62500.0,102.334518,95.171102,159.601938,6.661977,0.25505900000000004,0.970745,0.0,0.0,2,1,15,2,0
5410815,283119,2005,205,-120.2281,45.821999999999996,115299,2,2,62500.0,72.743814,65.469433,109.79223799999998,4.58286,0.175458,0.667788,0.0,0.0,2,1,15,2,0
5410816,283120,2005,205,-120.225,45.8226,115299,1,1,62500.0,113.094774,105.17813999999998,176.38374,7.36247,0.281877,1.072817,0.0,0.0,2,1,15,2,0
5410817,283121,2005,205,-120.2219,45.8231,115299,1,1,62500.0,162.300528,150.939491,253.125526,10.565764,0.404518,1.539583,0.0,0.0,2,1,15,2,0
5410818,283122,2005,205,-120.2188,45.8237,115299,2,2,62500.0,340.405182,306.364664,513.773541,21.445526,0.8210569999999999,3.12492,0.0,0.0,2,1,15,2,0
5410916,283220,2005,205,-120.2538,45.8196,115299,1,1,62500.0,165.88728,154.27517,258.719461,10.799262,0.413457,1.573607,0.0,0.0,2,1,15,2,0
5410917,283221,2005,205,-120.2507,45.8202,115299,1,1,62500.0,171.043236,159.070209,266.760741,11.134915,0.426308,1.622516,0.0,0.0,2,1,15,2,0
5410918,283222,2005,205,-120.2476,45.8208,115299,2,2,62500.0,386.808786,348.127907,583.8105009999998,24.368954,0.932983,3.550905,0.0,0.0,2,1,15,2,0
5410919,283223,2005,205,-120.2445,45.8213,115299,2,2,62500.0,330.5416140000001,297.487453,498.886458,20.824122,0.797266,3.0343720000000003,0.0,0.0,2,1,15,2,0
5410920,283224,2005,205,-120.2414,45.8219,115299,2,2,62500.0,294.674094,265.206685,444.75161,18.564468,0.710754,2.705108,0.0,0.0,2,1,15,2,0
5410921,283225,2005,205,-120.2383,45.8225,115299,1,1,62500.0,98.411508,91.522702,153.483572,6.406589,0.245281,0.933532,0.0,0.0,2,1,15,2,0
5410922,283226,2005,205,-120.2351,45.823,115299,0,0,62500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,15,2,0
5410923,283227,2005,205,-120.23200000000001,45.8236,115299,2,2,0.0,114.663978,103.19758,173.062342,7.223831,0.27657,1.052615,0.0,0.0,2,1,15,1,0
5410924,283228,2005,205,-120.2289,45.8242,115299,1,1,0.0,123.518772,114.872458,192.641112,8.041072,0.307858,1.171699,0.0,0.0,2,1,15,1,0
5410925,283229,2005,205,-120.2258,45.8247,115299,2,2,62500.0,120.49245,108.443205,181.859255,7.591024000000001,0.290628,1.106121,0.0,0.0,2,1,15,2,0
5410926,283230,2005,205,-120.2227,45.8253,115299,2,2,62500.0,169.137774,152.223997,255.279642,10.65568,0.40796,1.552685,0.0,0.0,2,1,15,2,0
5410927,283231,2005,205,-120.2196,45.8259,115299,2,2,62500.0,351.38961,316.250649,530.352338,22.137545000000006,0.8475520000000001,3.225757,0.0,0.0,2,1,15,2,0
5411024,283328,2005,205,-120.2546,45.8218,115299,2,2,62500.0,347.354514,312.619063,524.262168,21.883334,0.8378190000000001,3.188714,0.0,0.0,2,1,15,2,0
5411025,283329,2005,205,-120.2515,45.8224,115299,2,2,62500.0,140.331672,126.298505,211.80259300000003,8.840895,0.33848,1.288245,0.0,0.0,2,1,15,2,0
5411026,283330,2005,205,-120.2484,45.8229,115299,1,1,62500.0,118.026558,109.764699,184.0754,7.683528999999999,0.294169,1.1196,0.0,0.0,2,1,15,2,0
5411027,283331,2005,205,-120.2391,45.8246,115299,1,1,62500.0,80.253576,74.635826,125.16428,5.224508,0.200024,0.761285,0.0,0.0,2,1,15,2,0
5411028,283332,2005,205,-120.236,45.8252,115299,1,1,62500.0,101.99826,94.858382,159.077506,6.6400869999999985,0.25422,0.967555,0.0,0.0,2,1,15,2,0
5411029,283333,2005,205,-120.2328,45.8258,115299,2,2,0.0,364.055328,327.6497950000001,549.468707,22.935486,0.878101,3.342028,0.0,0.0,2,1,15,1,0
5411030,283334,2005,205,-120.2297,45.8263,115299,1,1,62500.0,132.82191,123.524376,207.150379,8.646706,0.331045,1.259949,0.0,0.0,2,1,15,2,0
5411031,283335,2005,205,-120.2266,45.8269,115299,2,2,62500.0,370.44423,333.399807,559.1114759999998,23.337986,0.893511,3.400678,0.0,0.0,2,1,15,2,0
5411032,283336,2005,205,-120.2235,45.8275,115299,1,1,62500.0,138.538296,128.840615,216.065712,9.018843,0.345293,1.314174,0.0,0.0,2,1,15,2,0
5411033,283337,2005,205,-120.2204,45.828,115299,1,1,62500.0,133.606512,124.254056,208.374052,8.697784,0.33300100000000005,1.267391,0.0,0.0,2,1,15,2,0
5411121,283425,2005,206,-120.2461,45.8257,115299,2,2,0.0,352.734642,317.461178,532.382395,22.222282,0.8507959999999999,3.238104,0.0,0.0,2,1,15,1,0
5411122,283426,2005,205,-120.243,45.8263,115299,1,1,62500.0,132.48565200000002,123.211656,206.625948,8.624816000000001,0.33020700000000003,1.256759,0.0,0.0,2,1,15,2,0
5411123,283427,2005,205,-120.2399,45.8268,115299,1,1,62500.0,98.971938,92.043902,154.357624,6.443073,0.246678,0.938848,0.0,0.0,2,1,15,2,0
5411124,283428,2005,205,-120.2368,45.8274,115299,2,2,0.0,514.2505679999998,462.825511,776.1583820000002,32.397786,1.240372,4.72082,0.0,0.0,2,1,15,1,0
5411125,283429,2005,205,-120.2337,45.828,115299,1,1,62500.0,116.457354,108.305339,181.628054,7.581374,0.290258,1.104714,0.0,0.0,2,1,15,2,0
5411126,283430,2005,205,-120.2305,45.8285,115299,1,1,0.0,132.037308,122.794696,205.926706,8.595628999999999,0.32909,1.252506,0.0,0.0,2,1,15,1,0
5411127,283431,2005,205,-120.2274,45.8291,115299,2,2,62500.0,379.186938,341.268244,572.306846,23.888777,0.914599,3.4809360000000003,0.0,0.0,2,1,15,2,0
5411128,283432,2005,205,-120.2243,45.8297,115299,1,1,0.0,128.114298,119.146297,199.80834,8.340241,0.319312,1.215292,0.0,0.0,2,1,15,1,0
5411129,283433,2005,205,-120.2212,45.8302,115299,2,2,0.0,375.376014,337.838413,566.555018,23.648689,0.905407,3.445952,0.0,0.0,2,1,15,1,0
5411211,283515,2005,206,-120.2469,45.8279,115299,1,1,62500.0,131.028534,121.85653700000002,204.353412,8.529958,0.32657600000000003,1.2429370000000002,0.0,0.0,2,1,15,2,0
5411212,283516,2005,205,-120.2438,45.8284,115299,2,2,62500.0,392.637258,353.373532,592.607413,24.736147,0.947041,3.60441,0.0,0.0,2,1,15,2,0
5411213,283517,2005,205,-120.2407,45.82899999999999,115299,2,2,0.0,374.36724,336.930516,565.032475,23.585136,0.902974,3.436691,0.0,0.0,2,1,15,1,0
5411214,283518,2005,205,-120.2376,45.8296,115299,1,1,62500.0,124.079202,115.393658,193.515164,8.077556,0.309255,1.177015,0.0,0.0,2,1,15,2,0
5411215,283519,2005,205,-120.2345,45.8301,115299,1,1,62500.0,106.593786,99.132221,166.24473500000005,6.939255,0.265674,1.011149,0.0,0.0,2,1,15,2,0
5411216,283520,2005,205,-120.2314,45.8307,115299,1,1,62500.0,141.116274,131.238135,220.086352,9.186669,0.351718,1.338629,0.0,0.0,2,1,15,2,0
5411217,283521,2005,205,-120.2282,45.8313,115299,1,1,62500.0,142.237134,132.280535,221.834457,9.259637,0.354512,1.349261,0.0,0.0,2,1,15,2,0
5411218,283522,2005,205,-120.2251,45.8318,115299,1,1,62500.0,145.375542,135.199254,226.72914900000004,9.463948,0.362334,1.379032,0.0,0.0,2,1,15,2,0
5411294,283598,2005,206,-120.2508,45.8295,115299,1,1,62500.0,134.727372,125.296456,210.122157,8.770752,0.33579499999999995,1.278024,0.0,0.0,2,1,15,2,0
5411295,283599,2005,206,-120.2477,45.83,115299,2,2,62500.0,387.369216,348.632294,584.656358,24.404261,0.934335,3.556049,0.0,0.0,2,1,15,2,0
5411296,283600,2005,206,-120.2446,45.8306,115299,2,2,62500.0,340.18101,306.162909,513.435198,21.431404,0.820517,3.122862,0.0,0.0,2,1,15,2,0
5411297,283601,2005,205,-120.2415,45.8312,115299,2,2,62500.0,370.332144,333.29893,558.942305,23.330925,0.893241,3.399649,0.0,0.0,2,1,15,2,0
5411298,283602,2005,205,-120.2384,45.8317,115299,1,1,62500.0,143.133822,133.114454,223.23294,9.318012,0.356747,1.357767,0.0,0.0,2,1,15,2,0
5411299,283603,2005,205,-120.2353,45.8323,115299,2,2,62500.0,529.830522,476.84747,799.673207,33.379323,1.277951,4.863844,0.0,0.0,2,1,15,2,0
5411300,283604,2005,205,-120.2322,45.8329,115299,1,1,62500.0,146.83266,136.554374,229.001685,9.558806,0.365966,1.392855,0.0,0.0,2,1,15,2,0
5411301,283605,2005,205,-120.2291,45.8334,115299,1,1,62500.0,156.584142,145.623252,244.210194,10.193628,0.39027,1.485357,0.0,0.0,2,1,15,2,0
5411302,283606,2005,205,-120.2259,45.833999999999996,115299,1,1,0.0,168.016914,156.25573,262.040859,10.937901,0.418765,1.593808,0.0,0.0,2,1,15,1,0
5411377,283681,2005,206,-120.2516,45.8317,115299,1,1,62500.0,154.11825,143.329972,240.364364,10.033098,0.384124,1.461966,0.0,0.0,2,1,15,2,0
5411378,283682,2005,206,-120.2485,45.8322,115299,1,1,62500.0,135.736146,126.234616,211.695451,8.836423,0.338309,1.287593,0.0,0.0,2,1,15,2,0
5411379,283683,2005,206,-120.2454,45.8328,115299,1,1,62500.0,128.33847,119.354777,200.157961,8.354834,0.319871,1.217419,0.0,0.0,2,1,15,2,0
5411380,283684,2005,205,-120.2423,45.8334,115299,2,2,62500.0,372.12552,334.9129680000001,561.649047,23.443908,0.897567,3.4161120000000005,0.0,0.0,2,1,15,2,0
